listing_nickname,rev_mo,launch_date,end_date,building
CR305,2019-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR305,2019-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR305,2019-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR305,2019-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR305,2019-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR305,2019-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR305,2019-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR305,2019-12-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2018-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2018-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2018-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2018-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2018-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2018-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2018-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2018-12-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-01-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-02-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-03-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-04-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR307,2019-12-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2018-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2018-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2018-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2018-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2018-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2018-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2018-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2018-12-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-01-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-02-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-03-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-04-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR308,2019-12-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2018-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2018-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2018-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2018-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2018-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2018-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2018-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2018-12-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-01-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-02-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-03-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-04-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR310,2019-12-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2018-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2018-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2018-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2018-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2018-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2018-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2018-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2018-12-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-01-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-02-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-03-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-04-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-06-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-07-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-08-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-09-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-10-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-11-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR312,2019-12-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
CR314,2018-05-01,2018-05-14T07:00:00Z,2019-12-31T08:00:00Z,chroma
